,1e-05-0.08 eV,0.08-0.18 eV,0.18-0.625 eV,0.625-1.3 eV,1.3-4 eV,4-148.7 eV,148.7-9118 eV,9118-1.83e+05 eV,1.83e+05-5e+05 eV,5e+05-1.353e+06 eV,1.353e+06-2e+07 eV
UN,0.0012881258916079546,0.03499488880306788,0.05689863715719598,0.09928010946489528,0.1574181797549829,0.1770850943213053,0.5384707892700813,1.153871568056525,2.217492998633003,2.6162609999607733,0.8449462411647617
moderator,0.012103268422265022,0.16951503479573385,0.15999124238097814,0.15595099998126602,0.1771191980108407,0.2652950794232496,0.5007722423575466,0.8309367318876737,1.4091550432711106,1.6312299621622477,0.5104198387306443
hp_vp_liq_wick,0.002660422541591037,0.04432979895029514,0.04824973427785388,0.05462557638309358,0.0665592065839568,0.09495728998385215,0.21321790979154728,0.398330436932444,0.718067448850249,0.8326151672843717,0.25869468754409686
matrix,0.020484410515139703,0.32185827779242426,0.3395085161732444,0.3844212882889812,0.46470090699225874,0.6529352767361944,1.4601726790299536,2.755477827266655,4.895293285767486,5.575833740856452,1.7557382437649087
SiC_fuel_clad,0.0005599462181213716,0.009546161617045372,0.011134731050803627,0.014094697262280742,0.01882804520467294,0.02472083779258331,0.06264068127738505,0.12569016464746077,0.23284768718969784,0.27026940049692294,0.08657715943264359
