material,heating rate [eV/src],std. dev.,fraction of total
UN,111433046.71871537,160495.53662342267,0.982357263307254
moderator,993891.644344426,1519.4088654754262,0.008761823395412522
matrix,780571.6141241405,1265.2200630737564,0.006881263837305914
shell_air_hp,85625.96402966637,297.88723191892683,0.0007548504700275877
SiC_mod_clad,65033.34087204883,134.62365584574832,0.0005733126450724955
SiC_fuel_clad,41506.025419162776,83.34068467755321,0.00036590353348637324
hp_vp_liq_wick,34663.58419250648,129.72144628270271,0.00030558281144126844
