,1e-05-0.08 eV,0.08-0.18 eV,0.18-0.625 eV,0.625-1.3 eV,1.3-4 eV,4-148.7 eV,148.7-9118 eV,9118-1.83e+05 eV,1.83e+05-5e+05 eV,5e+05-1.353e+06 eV,1.353e+06-2e+07 eV
fuel,0.009593035933154762,0.15889503415807077,0.09697290921679706,0.04461114015232198,0.041413749435708844,0.041067612774096575,0.04826518830235704,0.06863183568119652,0.11971488265367995,0.16506137091829934,0.06213509704968924
moderator,0.21075954868472827,2.9253896796416368,1.608933275015392,0.7065112023527172,0.6573398598350488,0.6833425969190664,0.7490295988716362,0.9776470198176789,1.6145220875486492,2.1328876284792946,0.7254167349708541
hp_vp_liq_wick,0.07528442983363824,1.1845985009690727,0.7013217992379862,0.3176541216534101,0.2952851260841739,0.30497060196908854,0.3454188629013066,0.4731851281061434,0.8043114871548241,1.069965096005537,0.3704042699097919
matrix,0.562384559519828,8.500427160615013,4.942476203119278,2.2194938778856073,2.047019468999695,2.0968702316245174,2.364662479964282,3.2679775150377974,5.486227509627469,7.220608940388102,2.4967845206039425
matrix_pin,0.14634359430496433,2.366598231417976,1.434582162149362,0.6539416117033411,0.6053946485815294,0.6064978287354333,0.7044280796535559,0.9961742380163361,1.7159594070081947,2.3270047725662755,0.8521732827366602
