,1e-05-0.08 eV,0.08-0.18 eV,0.18-0.625 eV,0.625-1.3 eV,1.3-4 eV,4-148.7 eV,148.7-9118 eV,9118-1.83e+05 eV,1.83e+05-5e+05 eV,5e+05-1.353e+06 eV,1.353e+06-2e+07 eV
UN,0.001721345993322507,0.05278262285155211,0.0827213611385329,0.1056662166643752,0.14832660139801002,0.15746146374671258,0.36924705229984817,0.6872140372757151,1.442925503789928,2.0283174716119494,0.7123932470085872
YH2,0.015404588591905589,0.26643405933823716,0.2728150724978577,0.21736664415573853,0.24320925591132025,0.33104175795850865,0.5494023721654371,0.8908879656003552,1.7006430772966012,2.3184894492139625,0.7894331492277488
NaGas,0.0004918739145148775,0.011496750701073593,0.021055833547924247,0.02693688587700874,0.03378762817815368,0.04036898157817492,0.08724699020812814,0.15977613940232904,0.32588474622125513,0.4481628421843144,0.1538815757846596
NaLiquid,5.612337242574032e-05,0.0014745600591209293,0.002786600577359811,0.0037675113415592395,0.004987851892534551,0.005710012409248214,0.013062307038465209,0.02401923827111969,0.04979444458141453,0.06841829108363623,0.023487418257155786
ZrHx,0.00033603761828685023,0.007752084528456747,0.013820991563152916,0.01778575169753402,0.02179943456197654,0.026524445084702405,0.05798168471930886,0.10387659348607466,0.2122460974296398,0.29108218703216987,0.09997884974112285
