material,absorption rate,std. dev.
UN,0.8962480633628543,0.001321032573163854
YH2,0.025352394371730563,7.570091060369943e-05
NaGas,0.00041471135386152993,2.2611850132758848e-06
ZrHx,0.002272045617067105,1.8612664499524362e-05
NaLiquid,8.257806749342584e-05,3.430658539839801e-07
Nb,0.015768408691590786,4.905886980775509e-05
SiC,0.004510475439599529,1.8870334386847222e-05
W,0.05865233361424714,0.00024806361385874777
