material,heating rate [eV/src],std. dev.,fraction of total
UN,107455170.16829169,177690.2618655237,0.975582608974517
YH2,1486586.9235367565,2374.0737084387547,0.013496682821868973
W,452532.379841476,1810.390877461468,0.0041085293437231815
SiC,323220.05312769604,745.4442553374016,0.002934506196484978
ZrHx,204810.62105043835,454.46470472029745,0.0018594701373339636
Nb,197645.69626788955,495.1241587428295,0.0017944199773321907
NaGas,20489.763170085094,58.77276140493372,0.00018602601046962148
NaLiquid,4158.679344462072,11.117067451451748,3.7756538269909496e-05
